run,fitness,omega,c1,c2
5,8860.899802803386,0.7,1.4,1.4
5,8860.899802803386,0.7,1.4,1.4
5,8860.899802803386,0.7,1.4,1.4
5,8860.899802803386,0.7,1.4,1.4
5,7912.863836415596,0.7,1.4,1.4
5,4891.304979464839,0.7,1.4,1.4
5,1857.4969431460381,0.7,1.4,1.4
5,1857.4969431460381,0.7,1.4,1.4
5,789.599242920767,0.7,1.4,1.4
5,559.2412934716499,0.7,1.4,1.4
5,559.2412934716499,0.7,1.4,1.4
5,559.2412934716499,0.7,1.4,1.4
5,231.1956942847906,0.7,1.4,1.4
5,213.949686792437,0.7,1.4,1.4
5,156.7528436381175,0.7,1.4,1.4
5,89.25424250430937,0.7,1.4,1.4
5,89.25424250430937,0.7,1.4,1.4
5,72.09465361783245,0.7,1.4,1.4
5,50.88621655064202,0.7,1.4,1.4
5,46.28297757687445,0.7,1.4,1.4
5,27.78728159625005,0.7,1.4,1.4
5,27.78728159625005,0.7,1.4,1.4
5,21.09193845460161,0.7,1.4,1.4
5,21.09193845460161,0.7,1.4,1.4
5,21.09193845460161,0.7,1.4,1.4
5,15.92825037985735,0.7,1.4,1.4
5,15.92825037985735,0.7,1.4,1.4
5,15.92825037985735,0.7,1.4,1.4
5,15.92825037985735,0.7,1.4,1.4
5,15.83994787225978,0.7,1.4,1.4
5,14.16076958115467,0.7,1.4,1.4
5,11.711003352518494,0.7,1.4,1.4
5,11.711003352518494,0.7,1.4,1.4
5,11.155873646903723,0.7,1.4,1.4
5,11.155873646903723,0.7,1.4,1.4
5,9.072099825115988,0.7,1.4,1.4
5,9.072099825115988,0.7,1.4,1.4
5,8.983382332164673,0.7,1.4,1.4
5,8.983382332164673,0.7,1.4,1.4
5,8.583209550926655,0.7,1.4,1.4
5,8.303093028995594,0.7,1.4,1.4
5,7.887510063654345,0.7,1.4,1.4
5,7.887510063654345,0.7,1.4,1.4
5,7.217603684582607,0.7,1.4,1.4
5,7.217603684582607,0.7,1.4,1.4
5,7.217603684582607,0.7,1.4,1.4
5,7.18806756236549,0.7,1.4,1.4
5,6.972161962424574,0.7,1.4,1.4
5,6.972161962424574,0.7,1.4,1.4
5,6.965966635452916,0.7,1.4,1.4
5,6.957089205981273,0.7,1.4,1.4
5,6.957089205981273,0.7,1.4,1.4
5,6.957089205981273,0.7,1.4,1.4
5,6.921384305297808,0.7,1.4,1.4
5,6.880697527762154,0.7,1.4,1.4
5,6.822332140816693,0.7,1.4,1.4
5,6.795002333593302,0.7,1.4,1.4
5,6.76110897300982,0.7,1.4,1.4
5,6.750881732968319,0.7,1.4,1.4
5,6.750881732968319,0.7,1.4,1.4
5,6.731272688086417,0.7,1.4,1.4
5,6.714057510573905,0.7,1.4,1.4
6,11376737740.661835,0.7,1.4,1.4
6,6286980554.79087,0.7,1.4,1.4
6,6286980554.79087,0.7,1.4,1.4
6,1895522056.482969,0.7,1.4,1.4
6,1417578095.7228038,0.7,1.4,1.4
6,784697968.5707313,0.7,1.4,1.4
6,784697968.5707313,0.7,1.4,1.4
6,784697968.5707313,0.7,1.4,1.4
6,784697968.5707313,0.7,1.4,1.4
6,784697968.5707313,0.7,1.4,1.4
6,351000264.99725735,0.7,1.4,1.4
6,107594243.17723069,0.7,1.4,1.4
6,48321440.6076165,0.7,1.4,1.4
6,48321440.6076165,0.7,1.4,1.4
6,41313620.19615198,0.7,1.4,1.4
6,23436221.72570541,0.7,1.4,1.4
6,23436221.72570541,0.7,1.4,1.4
6,13509970.28007229,0.7,1.4,1.4
6,10389462.935407175,0.7,1.4,1.4
6,7124772.767250789,0.7,1.4,1.4
6,7124772.767250789,0.7,1.4,1.4
6,6856274.552862353,0.7,1.4,1.4
6,5748661.011982846,0.7,1.4,1.4
6,5643441.326465643,0.7,1.4,1.4
6,4612435.735973474,0.7,1.4,1.4
6,4463439.732839143,0.7,1.4,1.4
6,2599821.090600986,0.7,1.4,1.4
6,1888258.9510038095,0.7,1.4,1.4
6,948101.7227012523,0.7,1.4,1.4
6,829748.9195669764,0.7,1.4,1.4
6,147996.93143099596,0.7,1.4,1.4
6,147996.93143099596,0.7,1.4,1.4
6,147996.93143099596,0.7,1.4,1.4
6,133557.98586145983,0.7,1.4,1.4
6,32519.939614941082,0.7,1.4,1.4
6,32519.939614941082,0.7,1.4,1.4
6,6388.178777797149,0.7,1.4,1.4
6,6388.178777797149,0.7,1.4,1.4
6,6388.178777797149,0.7,1.4,1.4
6,4785.712034712658,0.7,1.4,1.4
6,4785.712034712658,0.7,1.4,1.4
6,4415.2828897921345,0.7,1.4,1.4
6,4415.2828897921345,0.7,1.4,1.4
6,3154.5606867623424,0.7,1.4,1.4
6,3154.5606867623424,0.7,1.4,1.4
6,2166.295719094964,0.7,1.4,1.4
6,776.9678959206557,0.7,1.4,1.4
6,466.9406178007061,0.7,1.4,1.4
6,351.69715254519235,0.7,1.4,1.4
6,351.69715254519235,0.7,1.4,1.4
6,330.55088794720774,0.7,1.4,1.4
6,330.01047275432757,0.7,1.4,1.4
6,326.9724775432161,0.7,1.4,1.4
6,216.79463151101072,0.7,1.4,1.4
6,199.76639113313288,0.7,1.4,1.4
6,199.76639113313288,0.7,1.4,1.4
6,197.16790744662367,0.7,1.4,1.4
6,197.16790744662367,0.7,1.4,1.4
6,197.16790744662367,0.7,1.4,1.4
6,193.2648959452646,0.7,1.4,1.4
6,193.2648959452646,0.7,1.4,1.4
6,139.61770889950043,0.7,1.4,1.4
6,139.61770889950043,0.7,1.4,1.4
6,139.61770889950043,0.7,1.4,1.4
6,139.61770889950043,0.7,1.4,1.4
6,139.61770889950043,0.7,1.4,1.4
6,138.3810177308994,0.7,1.4,1.4
6,120.07813067697703,0.7,1.4,1.4
6,99.93591376450239,0.7,1.4,1.4
6,99.93591376450239,0.7,1.4,1.4
6,99.93591376450239,0.7,1.4,1.4
6,99.93591376450239,0.7,1.4,1.4
6,96.46549715579806,0.7,1.4,1.4
6,96.46549715579806,0.7,1.4,1.4
6,96.46549715579806,0.7,1.4,1.4
6,96.46549715579806,0.7,1.4,1.4
6,96.46549715579806,0.7,1.4,1.4
6,95.82914099749509,0.7,1.4,1.4
6,94.96131598556532,0.7,1.4,1.4
6,93.68620081387407,0.7,1.4,1.4
6,91.63983041406965,0.7,1.4,1.4
6,89.0696626847103,0.7,1.4,1.4
6,89.0696626847103,0.7,1.4,1.4
6,88.15932700664442,0.7,1.4,1.4
6,87.15433618795016,0.7,1.4,1.4
6,85.59290741568522,0.7,1.4,1.4
6,85.59290741568522,0.7,1.4,1.4
6,84.97022384095038,0.7,1.4,1.4
6,84.97022384095038,0.7,1.4,1.4
6,84.97022384095038,0.7,1.4,1.4
6,84.2169453484039,0.7,1.4,1.4
6,84.14028683877483,0.7,1.4,1.4
6,83.522146618098,0.7,1.4,1.4
6,83.522146618098,0.7,1.4,1.4
6,83.522146618098,0.7,1.4,1.4
6,83.522146618098,0.7,1.4,1.4
6,83.47194117950625,0.7,1.4,1.4
6,83.47194117950625,0.7,1.4,1.4
6,83.2874778577887,0.7,1.4,1.4
6,83.22783547849914,0.7,1.4,1.4
7,14413751793.151764,0.7,1.4,1.4
7,3960013288.2774124,0.7,1.4,1.4
7,3960013288.2774124,0.7,1.4,1.4
7,2471005374.1926937,0.7,1.4,1.4
7,2188371093.317061,0.7,1.4,1.4
7,2188371093.317061,0.7,1.4,1.4
7,2188371093.317061,0.7,1.4,1.4
7,1287283823.6732345,0.7,1.4,1.4
7,364195987.97501767,0.7,1.4,1.4
7,207228917.72080177,0.7,1.4,1.4
7,207228917.72080177,0.7,1.4,1.4
7,99925760.09314469,0.7,1.4,1.4
7,99925760.09314469,0.7,1.4,1.4
7,99925760.09314469,0.7,1.4,1.4
7,99925760.09314469,0.7,1.4,1.4
7,58786969.55273442,0.7,1.4,1.4
7,42507098.58684606,0.7,1.4,1.4
7,15846636.21183147,0.7,1.4,1.4
7,15846636.21183147,0.7,1.4,1.4
7,9456333.279598987,0.7,1.4,1.4
7,9456333.279598987,0.7,1.4,1.4
7,7920700.54015679,0.7,1.4,1.4
7,5256141.086444146,0.7,1.4,1.4
7,389301.4996577888,0.7,1.4,1.4
7,389301.4996577888,0.7,1.4,1.4
7,389301.4996577888,0.7,1.4,1.4
7,389301.4996577888,0.7,1.4,1.4
7,205444.0084609165,0.7,1.4,1.4
7,205444.0084609165,0.7,1.4,1.4
7,205444.0084609165,0.7,1.4,1.4
